ticker,name,sector
DPNS,Duta Pertiwi Nusantara Tbk.,Basic Materials
DRMA,Dharma Polimetal Tbk.,Consumer Cyclicals
DSNG,Dharma Satya Nusantara Tbk.,Consumer Non-Cyclicals
DSSA,Dian Swastatika Sentosa Tbk.,Energy
DUTI,Duta Pertiwi Tbk.,Properties & Real Estate
ELSA,Elnusa Tbk.,Energy
EMTK,Elang Mahkota Teknologi Tbk.,Technology
ENRG,Energi Mega Persada Tbk.,Energy
ERAA,Erajaya Swasembada Tbk.,Consumer Cyclicals
EXCL,XL Axiata Tbk.,Infrastructures
FILM,MD Pictures Tbk.,Consumer Cyclicals
GEMA,Gema Grahasarana Tbk.,Consumer Cyclicals
GEMS,Golden Energy Mines Tbk.,Energy
GGRM,Gudang Garam Tbk.,Consumer Non-Cyclicals
GJTL,Gajah Tunggal Tbk.,Consumer Cyclicals
GOTO,GoTo Gojek Tokopedia Tbk.,Technology
GPSO,Geoprima Solusi Tbk.,Industrials
HEAL,Medikaloka Hermina Tbk.,Healthcare
HERO,Hero Supermarket Tbk.,Consumer Non-Cyclicals
HEXA,Hexindo Adiperkasa Tbk.,Industrials
HMSP,H.M. Sampoerna Tbk.,Consumer Non-Cyclicals
HRUM,Harum Energy Tbk.,Energy
ICBP,Indofood CBP Sukses Makmur Tbk.,Consumer Non-Cyclicals
IKAI,Intikeramik Alamasri Industri Tbk.,Basic Materials
IMAS,Indomobil Sukses Internasional Tbk.,Consumer Cyclicals
IMJS,Indomobil Multi Jasa Tbk.,Financials
IMPC,Impack Pratama Industri Tbk.,Basic Materials
INCO,Vale Indonesia Tbk.,Basic Materials
INDF,Indofood Sukses Makmur Tbk.,Consumer Non-Cyclicals
INDY,Indika Energy Tbk.,Energy
INKP,Indah Kiat Pulp & Paper Tbk.,Basic Materials
INTP,Indocement Tunggal Prakarsa Tbk.,Basic Materials
IPCC,Indonesia Kendaraan Terminal Tbk.,Transportation & Logistics
IPCM,Jasa Armada Indonesia Tbk.,Transportation & Logistics
ISAT,Indosat Tbk.,Infrastructures
ISSP,Steel Pipe Industry of Indonesia Tbk.,Basic Materials
ITMG,Indo Tambangraya Megah Tbk.,Energy
JARR,Jhonlin Agro Raya Tbk.,Consumer Non-Cyclicals
JAST,Jasnita Telekomunikasi Tbk.,Infrastructures
JSMR,Jasa Marga (Persero) Tbk.,Infrastructures
KAEF,Kimia Farma Tbk.,Healthcare
KAYU,Darmi Bersaudara Tbk.,Basic Materials
KIJA,Kawasan Industri Jababeka Tbk.,Properties & Real Estate
KKGI,Resource Alam Indonesia Tbk.,Energy
KLBF,Kalbe Farma Tbk.,Healthcare
KPIG,MNC Land Tbk.,Properties & Real Estate
KREN,Kresna Graha Investama Tbk.,Financials
LMAX,Lippo General Insurance Tbk.,Financials
LPKR,Lippo Karawaci Tbk.,Properties & Real Estate
LPPF,Matahari Department Store Tbk.,Consumer Cyclicals
LTLS,Lautan Luas Tbk.,Basic Materials
MAIN,Malindo Feedmill Tbk.,Consumer Non-Cyclicals
MAPA,MAP Aktif Adiperkasa Tbk.,Consumer Cyclicals
MAPB,MAP Boga Adiperkasa Tbk.,Consumer Cyclicals
MAPI,Mitra Adiperkasa Tbk.,Consumer Cyclicals
MARK,Mark Dynamics Indonesia Tbk.,Industrials
MBMA,Merdeka Battery Materials Tbk.,Basic Materials
MCOL,Prima Multi Usaha Tbk.,Energy
MCOR,Bank China Construction Bank Indonesia Tbk.,Financials
MDKA,Merdeka Copper Gold Tbk.,Basic Materials
MEDC,Medco Energi Internasional Tbk.,Energy
MEGA,Bank Mega Tbk.,Financials
MIKA,Mitra Keluarga Karyasehat Tbk.,Healthcare
MMLP,Mega Manunggal Property Tbk.,Properties & Real Estate
MNCN,Media Nusantara Citra Tbk.,Consumer Cyclicals
MPMX,Mitra Pinasthika Mustika Tbk.,Consumer Cyclicals
MSIN,MNC Digital Entertainment Tbk.,Consumer Cyclicals
MTDL,Metrodata Electronics Tbk.,Technology
MTEL,Dayamitra Telekomunikasi Tbk.,Infrastructures
MTLA,Metropolitan Land Tbk.,Properties & Real Estate
MYOR,Mayora Indah Tbk.,Consumer Non-Cyclicals
NISP,Bank OCBC NISP Tbk.,Financials
PANI,Pantai Indah Kapuk Dua Tbk.,Properties & Real Estate
PANR,Panorama Sentrawisata Tbk.,Consumer Cyclicals
PBSA,Paramita Bangun Sarana Tbk.,Infrastructures
PEHA,Phapros Tbk.,Healthcare
PGAS,Perusahaan Gas Negara Tbk.,Energy
PGEO,Pertamina Geothermal Energy Tbk.,Energy
PGLI,Pembangunan Graha Lestari Indah Tbk.,Consumer Cyclicals
PJAA,Pembangunan Jaya Ancol Tbk.,Consumer Cyclicals
PNBN,Bank Pan Indonesia Tbk.,Financials
PNBS,Bank Panin Dubai Syariah Tbk.,Financials
PNIN,Paninvest Tbk.,Financials
PNLF,Panin Financial Tbk.,Financials
PPRO,PP Properti Tbk.,Properties & Real Estate
PRDA,Prodia Widyahusada Tbk.,Healthcare
PSSI,Pelita Samudera Shipping Tbk.,Transportation & Logistics
PTBA,Bukit Asam Tbk.,Energy
PTIS,Indo Straits Tbk.,Energy
PTMP,Mitra Pack Tbk.,Industrials
PTPP,PP (Persero) Tbk.,Infrastructures
PTRO,Petrosea Tbk.,Energy
PUDP,Pudjiadi Prestige Tbk.,Properties & Real Estate
PWON,Pakuwon Jati Tbk.,Properties & Real Estate
RALS,Ramayana Lestari Sentosa Tbk.,Consumer Cyclicals
ROTI,Nippon Indosari Corpindo Tbk.,Consumer Non-Cyclicals
SAME,Sarana Meditama Metropolitan Tbk.,Healthcare
SCMA,Surya Citra Media Tbk.,Consumer Cyclicals
SDMU,Sidomulyo Selaras Tbk.,Transportation & Logistics
SDRA,Bank Woori Saudara Indonesia 1906 Tbk.,Financials
SGER,Sumber Global Energy Tbk.,Energy
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,Healthcare
SILO,Siloam International Hospitals Tbk.,Healthcare
SIMP,Salim Ivomas Pratama Tbk.,Consumer Non-Cyclicals
SMBR,Semen Baturaja Tbk.,Basic Materials
SMDR,Samudera Indonesia Tbk.,Transportation & Logistics
SMGR,Semen Indonesia (Persero) Tbk.,Basic Materials
SMMA,Sinar Mas Multiartha Tbk.,Financials
SMRA,Summarecon Agung Tbk.,Properties & Real Estate
SMSM,Selamat Sempurna Tbk.,Consumer Cyclicals
SRTG,Saratoga Investama Sedaya Tbk.,Financials
SSIA,Surya Semesta Internusa Tbk.,Properties & Real Estate
SSMS,Sawit Sumbermas Sarana Tbk.,Consumer Non-Cyclicals
TAPG,Triputra Agro Persada Tbk.,Consumer Non-Cyclicals
TBIG,Sarana Menara Nusantara Tbk.,Infrastructures
TCPI,Transcoal Pacific Tbk.,Transportation & Logistics
TEBE,Dana Brata Luhur Tbk.,Energy
TFAS,Telefast Indonesia Tbk.,Technology
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,Basic Materials
TLKM,Telkom Indonesia (Persero) Tbk.,Infrastructures
TMAS,Temas Tbk.,Transportation & Logistics
TOBA,TBS Energi Utama Tbk.,Energy
TOTO,Surya Toto Indonesia Tbk.,Basic Materials
TOWR,Sarana Menara Nusantara Tbk.,Infrastructures
TPIA,Chandra Asri Pacific Tbk.,Basic Materials
TRIM,Trimegah Sekuritas Indonesia Tbk.,Financials
TRIS,Trisula International Tbk.,Consumer Cyclicals
TRUE,Triniti Dinamik Tbk.,Properties & Real Estate
ULTJ,Ultra Jaya Milk Industry & Trading Company Tbk.,Consumer Non-Cyclicals
UNTR,United Tractors Tbk.,Industrials
UNVR,Unilever Indonesia Tbk.,Consumer Non-Cyclicals
VICI,Victoria Care Indonesia Tbk.,Consumer Non-Cyclicals
VKTR,VKTR Teknologi Mobilitas Tbk.,Consumer Cyclicals
VRNA,Mizuho Leasing Indonesia Tbk.,Financials
WAPO,Wahana Pronatural Tbk.,Consumer Non-Cyclicals
WEGE,Wijaya Karya Bangunan Gedung Tbk.,Infrastructures
WIFI,Solusi Sinergi Digital Tbk.,Technology
WIKA,Wijaya Karya (Persero) Tbk.,Infrastructures
WINS,Wintermar Offshore Marine Tbk.,Transportation & Logistics
WOOD,Integra Indocabinet Tbk.,Consumer Cyclicals
WSBP,Waskita Beton Precast Tbk.,Basic Materials
WSKT,Waskita Karya (Persero) Tbk.,Infrastructures
WTON,Wijaya Karya Beton Tbk.,Basic Materials
YPAS,Yanaprima Hastapersada Tbk.,Basic Materials
ZATA,Bersama Zatta Jaya Tbk.,Consumer Cyclicals
ZINC,Kapuas Prima Coal Tbk.,Basic Materials
